Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Black_Pill F411CEU6","PCB-STM32F411",-13.500000,-12.000000,0.000000,top
"CMOS CR12220","Coin 12.5mm 3 V Lithium Battery","Coin 12.5mm 3 V Lithium Battery",25.725000,23.325000,90.000000,top
"D4","LED","LED_D3.0mm",27.300000,-10.655000,-90.000000,top
"D5","LED","LED_D3.0mm",27.178000,-4.831000,90.000000,top
"J3","GamePad (NES)","Правильный джой",32.450000,14.120000,90.000000,top
"J4","Mini-DIN-6","PS-2 (Mini Circular DIN 6 pin Connector)",36.700000,-21.730000,90.000000,top
"J6","VGA","D-SUB 15FR (Видео правильный)",-31.000000,14.000000,-90.000000,top
"JP_Left","Джампер","Джампер",17.170000,-12.330000,90.000000,top
"JP_MID","Джампер","Джампер",19.680000,-12.330000,90.000000,top
"JP_Right","Джампер","Джампер",22.180000,-12.330000,90.000000,top
"REF**","PinHeader_1x03_P2.54mm_Vertical","PinHeader_1x03_P2.54mm_Vertical",17.129600,-16.484600,90.000000,top
"REF**","PinHeader_1x03_P2.54mm_Vertical","PinHeader_1x03_P2.54mm_Vertical",17.129600,-10.896600,90.000000,top
"REF**","PinHeader_1x04_P2.54mm_Vertical","PinHeader_1x04_P2.54mm_Vertical",14.579600,-13.690600,90.000000,top
"RV1","1k","TRIM_3296W-1-102LF",-32.705000,-25.915000,0.000000,top
"SW1","~","Switch SW_TL1105JAF160Q",-37.312600,-11.800035,-90.000000,top
"Soket","DIP-8_W7.62mm_Socket","DIP-8_W7.62mm_Socket",10.668000,9.415400,0.000000,top
"U1","OPA2134","DIP-8_W7.62mm",10.668000,9.415400,0.000000,top
"Верх","Верхний корпус","Верхний корпус",-0.050800,-71.501000,0.000000,top
"Низ","Нижний корпус","Нижний корпус",100.000000,0.000000,0.000000,top
